"Mach","Pressure","Points:0","Points:1","Points:2"
0.2421,3.4512e+05,2.26,0,0
0.23305,3.4796e+05,2.27,0,0
0.22401,3.508e+05,2.28,0,0
0.21348,3.5372e+05,2.29,0,0
0.20295,3.5665e+05,2.3,0,0
0.19132,3.5959e+05,2.31,0,0
0.17968,3.6253e+05,2.32,0,0
0.16724,3.6542e+05,2.33,0,0
0.15479,3.6831e+05,2.34,0,0
0.14177,3.711e+05,2.35,0,0
0.12874,3.7389e+05,2.36,0,0
0.1153,3.7654e+05,2.37,0,0
0.10186,3.7919e+05,2.38,0,0
0.08815,3.8168e+05,2.39,0,0
0.074441,3.8416e+05,2.4,0,0
0.060565,3.8645e+05,2.41,0,0
0.046689,3.8874e+05,2.42,0,0
0.032773,3.9082e+05,2.43,0,0
0.018857,3.9289e+05,2.44,0,0
0.014463,3.9476e+05,2.45,0,0
0.010069,3.9662e+05,2.46,0,0
0.023952,3.9825e+05,2.47,0,0
0.037835,3.9989e+05,2.48,0,0
0.051849,4.013e+05,2.49,0,0
0.065863,4.027e+05,2.5,0,0
0.079809,4.0387e+05,2.51,0,0
0.093755,4.0504e+05,2.52,0,0
0.1076,4.0598e+05,2.53,0,0
0.12144,4.0693e+05,2.54,0,0
0.13514,4.0764e+05,2.55,0,0
0.14885,4.0836e+05,2.56,0,0
0.1624,4.0886e+05,2.57,0,0
0.17596,4.0937e+05,2.58,0,0
0.18936,4.0967e+05,2.59,0,0
0.20277,4.0997e+05,2.6,0,0
0.21606,4.1008e+05,2.61,0,0
0.22935,4.1018e+05,2.62,0,0
0.2426,4.1011e+05,2.63,0,0
0.25584,4.1004e+05,2.64,0,0
0.26914,4.0979e+05,2.65,0,0
0.28243,4.0954e+05,2.66,0,0
0.29566,4.0911e+05,2.67,0,0
0.30888,4.0867e+05,2.68,0,0
0.32194,4.0807e+05,2.69,0,0
0.335,4.0746e+05,2.7,0,0
0.34787,4.067e+05,2.71,0,0
0.36073,4.0594e+05,2.72,0,0
0.37343,4.0502e+05,2.73,0,0
0.38612,4.041e+05,2.74,0,0
0.39867,4.0303e+05,2.75,0,0
0.41122,4.0196e+05,2.76,0,0
0.42369,4.0073e+05,2.77,0,0
0.43616,3.9951e+05,2.78,0,0
0.44861,3.9811e+05,2.79,0,0
0.46106,3.9672e+05,2.8,0,0
0.47356,3.9515e+05,2.81,0,0
0.48607,3.9357e+05,2.82,0,0
0.4987,3.918e+05,2.83,0,0
0.51134,3.9003e+05,2.84,0,0
0.52417,3.8805e+05,2.85,0,0
0.537,3.8606e+05,2.86,0,0
0.5501,3.8384e+05,2.87,0,0
0.5632,3.8162e+05,2.88,0,0
0.57661,3.7916e+05,2.89,0,0
0.59002,3.7669e+05,2.9,0,0
0.60378,3.7397e+05,2.91,0,0
0.61754,3.7124e+05,2.92,0,0
0.63167,3.6826e+05,2.93,0,0
0.6458,3.6528e+05,2.94,0,0
0.66031,3.6203e+05,2.95,0,0
0.67482,3.5879e+05,2.96,0,0
0.68969,3.5529e+05,2.97,0,0
0.70456,3.518e+05,2.98,0,0
0.71977,3.4807e+05,2.99,0,0
0.73498,3.4434e+05,3,0,0
0.7505,3.4041e+05,3.01,0,0
0.76601,3.3647e+05,3.02,0,0
0.78181,3.3235e+05,3.03,0,0
0.79762,3.2822e+05,3.04,0,0
0.81373,3.2393e+05,3.05,0,0
0.82985,3.1964e+05,3.06,0,0
0.84593,3.1532e+05,3.07,0,0
0.86201,3.11e+05,3.08,0,0
0.87814,3.0663e+05,3.09,0,0
0.89426,3.0225e+05,3.1,0,0
0.91051,2.9781e+05,3.11,0,0
0.92676,2.9336e+05,3.12,0,0
0.94308,2.8886e+05,3.13,0,0
0.95941,2.8437e+05,3.14,0,0
0.97575,2.7986e+05,3.15,0,0
0.9921,2.7535e+05,3.16,0,0
1.0084,2.7086e+05,3.17,0,0
1.0247,2.6637e+05,3.18,0,0
1.041,2.6193e+05,3.19,0,0
1.0572,2.5748e+05,3.2,0,0
1.0734,2.5309e+05,3.21,0,0
1.0895,2.4871e+05,3.22,0,0
1.1056,2.444e+05,3.23,0,0
1.1216,2.4009e+05,3.24,0,0
1.1375,2.3587e+05,3.25,0,0
1.1534,2.3165e+05,3.26,0,0
1.1692,2.2753e+05,3.27,0,0
1.185,2.2341e+05,3.28,0,0
1.2008,2.1937e+05,3.29,0,0
1.2165,2.1533e+05,3.3,0,0
1.2322,2.1139e+05,3.31,0,0
1.2479,2.0745e+05,3.32,0,0
1.2632,2.0368e+05,3.33,0,0
1.2785,1.9991e+05,3.34,0,0
1.2935,1.9633e+05,3.35,0,0
1.3084,1.9274e+05,3.36,0,0
1.323,1.8932e+05,3.37,0,0
1.3376,1.8589e+05,3.38,0,0
1.3519,1.8261e+05,3.39,0,0
1.3662,1.7933e+05,3.4,0,0
1.3803,1.7617e+05,3.41,0,0
1.3944,1.7302e+05,3.42,0,0
1.4083,1.6998e+05,3.43,0,0
1.4222,1.6695e+05,3.44,0,0
1.4358,1.6404e+05,3.45,0,0
1.4495,1.6113e+05,3.46,0,0
1.4629,1.5834e+05,3.47,0,0
1.4763,1.5555e+05,3.48,0,0
1.4894,1.5289e+05,3.49,0,0
1.5026,1.5022e+05,3.5,0,0
1.5154,1.4768e+05,3.51,0,0
1.5283,1.4514e+05,3.52,0,0
1.5409,1.4272e+05,3.53,0,0
1.5535,1.4029e+05,3.54,0,0
1.5657,1.3799e+05,3.55,0,0
1.578,1.3569e+05,3.56,0,0
1.59,1.3351e+05,3.57,0,0
1.602,1.3132e+05,3.58,0,0
1.6137,1.2924e+05,3.59,0,0
1.6254,1.2717e+05,3.6,0,0
1.6367,1.252e+05,3.61,0,0
1.6481,1.2323e+05,3.62,0,0
1.6593,1.2136e+05,3.63,0,0
1.6704,1.1948e+05,3.64,0,0
1.6812,1.1771e+05,3.65,0,0
1.692,1.1593e+05,3.66,0,0
1.7026,1.1425e+05,3.67,0,0
1.7131,1.1256e+05,3.68,0,0
1.7234,1.1096e+05,3.69,0,0
1.7336,1.0936e+05,3.7,0,0
1.7436,1.0784e+05,3.71,0,0
1.7536,1.0633e+05,3.72,0,0
1.7633,1.0489e+05,3.73,0,0
1.7731,1.0345e+05,3.74,0,0
1.7825,1.0209e+05,3.75,0,0
1.7919,1.0073e+05,3.76,0,0
1.801,99448,3.77,0,0
1.8101,98166,3.78,0,0
1.8189,96959,3.79,0,0
1.8276,95753,3.8,0,0
1.8361,94618,3.81,0,0
1.8445,93484,3.82,0,0
1.8526,92421,3.83,0,0
1.8608,91357,3.84,0,0
1.8685,90362,3.85,0,0
1.8763,89367,3.86,0,0
1.8837,88440,3.87,0,0
1.8911,87513,3.88,0,0
1.8981,86651,3.89,0,0
1.9051,85790,3.9,0,0
1.9118,84995,3.91,0,0
1.9184,84200,3.92,0,0
1.9246,83471,3.93,0,0
1.9308,82743,3.94,0,0
1.9366,82082,3.95,0,0
1.9424,81421,3.96,0,0
1.9476,80828,3.97,0,0
1.9529,80235,3.98,0,0
1.9577,79710,3.99,0,0
1.9625,79186,4,0,0
1.9668,78732,4.01,0,0
1.971,78278,4.02,0,0
1.9747,77898,4.03,0,0
1.9784,77518,4.04,0,0
1.9814,77214,4.05,0,0
1.9845,76911,4.06,0,0
1.9868,76689,4.07,0,0
1.9892,76467,4.08,0,0
1.9909,76332,4.09,0,0
1.9925,76198,4.1,0,0
1.9933,76158,4.11,0,0
1.9942,76118,4.12,0,0
1.9941,76182,4.13,0,0
1.994,76247,4.14,0,0
1.993,76426,4.15,0,0
1.992,76606,4.16,0,0
1.9898,76916,4.17,0,0
1.9877,77226,4.18,0,0
1.9844,77684,4.19,0,0
1.981,78143,4.2,0,0
1.9763,78771,4.21,0,0
1.9716,79399,4.22,0,0
1.9654,80225,4.23,0,0
1.9591,81051,4.24,0,0
1.9512,82108,4.25,0,0
1.9433,83165,4.26,0,0
1.9335,84496,4.27,0,0
1.9236,85828,4.28,0,0
1.9117,87482,4.29,0,0
1.8998,89136,4.3,0,0
1.8856,91169,4.31,0,0
1.8714,93201,4.32,0,0
1.8547,95677,4.33,0,0
1.8381,98154,4.34,0,0
1.8189,1.0115e+05,4.35,0,0
1.7997,1.0415e+05,4.36,0,0
1.778,1.0773e+05,4.37,0,0
1.7563,1.1131e+05,4.38,0,0
1.7323,1.1552e+05,4.39,0,0
1.7084,1.1973e+05,4.4,0,0
1.6825,1.2459e+05,4.41,0,0
1.6567,1.2946e+05,4.42,0,0
1.6294,1.3498e+05,4.43,0,0
1.6021,1.405e+05,4.44,0,0
1.574,1.4662e+05,4.45,0,0
1.5459,1.5274e+05,4.46,0,0
1.5177,1.5936e+05,4.47,0,0
1.4896,1.6598e+05,4.48,0,0
1.4622,1.7292e+05,4.49,0,0
1.4348,1.7986e+05,4.5,0,0
1.4088,1.8692e+05,4.51,0,0
1.3827,1.9398e+05,4.52,0,0
1.3586,2.0098e+05,4.53,0,0
1.3344,2.0797e+05,4.54,0,0
1.3123,2.1475e+05,4.55,0,0
1.2902,2.2153e+05,4.56,0,0
1.2702,2.2803e+05,4.57,0,0
1.2501,2.3452e+05,4.58,0,0
1.2317,2.4071e+05,4.59,0,0
1.2134,2.469e+05,4.6,0,0
1.1972,2.5262e+05,4.61,0,0
1.181,2.5833e+05,4.62,0,0
1.1668,2.6356e+05,4.63,0,0
1.1525,2.6878e+05,4.64,0,0
1.14,2.7356e+05,4.65,0,0
1.1274,2.7833e+05,4.66,0,0
1.1164,2.827e+05,4.67,0,0
1.1053,2.8706e+05,4.68,0,0
1.0954,2.9106e+05,4.69,0,0
1.0856,2.9505e+05,4.7,0,0
1.0768,2.9872e+05,4.71,0,0
1.068,3.0238e+05,4.72,0,0
1.0602,3.0574e+05,4.73,0,0
1.0524,3.091e+05,4.74,0,0
1.0455,3.1217e+05,4.75,0,0
