"Pressure","Points:0","Points:1","Points:2"
62174,6.12,0,0
61423,6.13,0,0
60671,6.14,0,0
59963,6.15,0,0
59255,6.16,0,0
58589,6.17,0,0
57923,6.18,0,0
57298,6.19,0,0
56673,6.2,0,0
56087,6.21,0,0
55500,6.22,0,0
54954,6.23,0,0
54407,6.24,0,0
53898,6.25,0,0
53389,6.26,0,0
52918,6.27,0,0
52447,6.28,0,0
52012,6.29,0,0
51578,6.3,0,0
51180,6.31,0,0
50781,6.32,0,0
50419,6.33,0,0
50057,6.34,0,0
49731,6.35,0,0
49406,6.36,0,0
49117,6.37,0,0
48828,6.38,0,0
48577,6.39,0,0
48326,6.4,0,0
48114,6.41,0,0
47902,6.42,0,0
47730,6.43,0,0
47558,6.44,0,0
47429,6.45,0,0
47299,6.46,0,0
47214,6.47,0,0
47128,6.48,0,0
47091,6.49,0,0
47053,6.5,0,0
47066,6.51,0,0
47080,6.52,0,0
47149,6.53,0,0
47218,6.54,0,0
47349,6.55,0,0
47479,6.56,0,0
47678,6.57,0,0
47876,6.58,0,0
48151,6.59,0,0
48425,6.6,0,0
48784,6.61,0,0
49144,6.62,0,0
49599,6.63,0,0
50054,6.64,0,0
50618,6.65,0,0
51182,6.66,0,0
51868,6.67,0,0
52555,6.68,0,0
53380,6.69,0,0
54206,6.7,0,0
55191,6.71,0,0
56176,6.72,0,0
57336,6.73,0,0
58496,6.74,0,0
59848,6.75,0,0
61200,6.76,0,0
62760,6.77,0,0
64321,6.78,0,0
66100,6.79,0,0
67880,6.8,0,0
69875,6.81,0,0
71870,6.82,0,0
74066,6.83,0,0
76262,6.84,0,0
78635,6.85,0,0
81008,6.86,0,0
83521,6.87,0,0
86033,6.88,0,0
88637,6.89,0,0
91241,6.9,0,0
93880,6.91,0,0
96520,6.92,0,0
99139,6.93,0,0
1.0176e+05,6.94,0,0
1.0431e+05,6.95,0,0
1.0686e+05,6.96,0,0
1.0932e+05,6.97,0,0
1.1177e+05,6.98,0,0
1.1411e+05,6.99,0,0
1.1645e+05,7,0,0
1.1867e+05,7.01,0,0
1.209e+05,7.02,0,0
1.2301e+05,7.03,0,0
1.2512e+05,7.04,0,0
1.2714e+05,7.05,0,0
1.2915e+05,7.06,0,0
1.3108e+05,7.07,0,0
1.33e+05,7.08,0,0
1.3484e+05,7.09,0,0
1.3669e+05,7.1,0,0
1.3845e+05,7.11,0,0
1.4021e+05,7.12,0,0
1.4189e+05,7.13,0,0
1.4357e+05,7.14,0,0
1.4517e+05,7.15,0,0
1.4676e+05,7.16,0,0
1.4827e+05,7.17,0,0
1.4977e+05,7.18,0,0
1.5117e+05,7.19,0,0
1.5258e+05,7.2,0,0
1.5387e+05,7.21,0,0
1.5516e+05,7.22,0,0
1.5632e+05,7.23,0,0
1.5749e+05,7.24,0,0
1.5851e+05,7.25,0,0
1.5954e+05,7.26,0,0
1.6042e+05,7.27,0,0
1.613e+05,7.28,0,0
1.6205e+05,7.29,0,0
1.628e+05,7.3,0,0
1.6341e+05,7.31,0,0
1.6402e+05,7.32,0,0
1.6451e+05,7.33,0,0
1.6499e+05,7.34,0,0
1.6536e+05,7.35,0,0
1.6572e+05,7.36,0,0
1.6599e+05,7.37,0,0
1.6625e+05,7.38,0,0
1.6642e+05,7.39,0,0
1.6659e+05,7.4,0,0
1.6669e+05,7.41,0,0
1.6678e+05,7.42,0,0
1.6681e+05,7.43,0,0
1.6685e+05,7.44,0,0
1.6683e+05,7.45,0,0
1.6681e+05,7.46,0,0
1.6675e+05,7.47,0,0
1.6668e+05,7.48,0,0
1.6658e+05,7.49,0,0
1.6648e+05,7.5,0,0
1.6634e+05,7.51,0,0
1.662e+05,7.52,0,0
1.6602e+05,7.53,0,0
1.6584e+05,7.54,0,0
1.6562e+05,7.55,0,0
1.654e+05,7.56,0,0
1.6514e+05,7.57,0,0
1.6488e+05,7.58,0,0
1.6458e+05,7.59,0,0
1.6428e+05,7.6,0,0
1.6394e+05,7.61,0,0
1.636e+05,7.62,0,0
1.6322e+05,7.63,0,0
1.6284e+05,7.64,0,0
1.6242e+05,7.65,0,0
1.6201e+05,7.66,0,0
1.6157e+05,7.67,0,0
1.6112e+05,7.68,0,0
1.6064e+05,7.69,0,0
1.6016e+05,7.7,0,0
1.5965e+05,7.71,0,0
1.5913e+05,7.72,0,0
1.5858e+05,7.73,0,0
1.5802e+05,7.74,0,0
1.5742e+05,7.75,0,0
1.5682e+05,7.76,0,0
1.5615e+05,7.77,0,0
1.5549e+05,7.78,0,0
1.5475e+05,7.79,0,0
1.5402e+05,7.8,0,0
1.532e+05,7.81,0,0
1.5238e+05,7.82,0,0
1.5147e+05,7.83,0,0
1.5056e+05,7.84,0,0
1.4955e+05,7.85,0,0
1.4855e+05,7.86,0,0
1.4745e+05,7.87,0,0
1.4635e+05,7.88,0,0
1.4516e+05,7.89,0,0
1.4397e+05,7.9,0,0
1.427e+05,7.91,0,0
1.4142e+05,7.92,0,0
1.4008e+05,7.93,0,0
1.3873e+05,7.94,0,0
1.3731e+05,7.95,0,0
1.359e+05,7.96,0,0
1.3444e+05,7.97,0,0
1.3297e+05,7.98,0,0
1.3147e+05,7.99,0,0
1.2997e+05,8,0,0
1.2844e+05,8.01,0,0
1.2691e+05,8.02,0,0
1.2536e+05,8.03,0,0
1.2382e+05,8.04,0,0
1.2227e+05,8.05,0,0
1.2072e+05,8.06,0,0
1.1917e+05,8.07,0,0
1.1763e+05,8.08,0,0
1.1609e+05,8.09,0,0
1.1456e+05,8.1,0,0
1.1305e+05,8.11,0,0
1.1154e+05,8.12,0,0
1.1005e+05,8.13,0,0
1.0857e+05,8.14,0,0
1.0711e+05,8.15,0,0
1.0566e+05,8.16,0,0
1.0424e+05,8.17,0,0
1.0283e+05,8.18,0,0
1.0145e+05,8.19,0,0
1.0008e+05,8.2,0,0
98743,8.21,0,0
97408,8.22,0,0
96117,8.23,0,0
94826,8.24,0,0
93579,8.25,0,0
92332,8.26,0,0
91129,8.27,0,0
89926,8.28,0,0
88768,8.29,0,0
87610,8.3,0,0
86496,8.31,0,0
85383,8.32,0,0
84314,8.33,0,0
83246,8.34,0,0
82222,8.35,0,0
81199,8.36,0,0
80220,8.37,0,0
79242,8.38,0,0
78308,8.39,0,0
77374,8.4,0,0
76485,8.41,0,0
75595,8.42,0,0
74749,8.43,0,0
73902,8.44,0,0
73098,8.45,0,0
72293,8.46,0,0
71530,8.47,0,0
70767,8.48,0,0
70046,8.49,0,0
69324,8.5,0,0
68642,8.51,0,0
67959,8.52,0,0
67316,8.53,0,0
66672,8.54,0,0
66065,8.55,0,0
65459,8.56,0,0
64888,8.57,0,0
64318,8.58,0,0
63784,8.59,0,0
63249,8.6,0,0
62751,8.61,0,0
62252,8.62,0,0
61790,8.63,0,0
61327,8.64,0,0
60900,8.65,0,0
60474,8.66,0,0
60083,8.67,0,0
59693,8.68,0,0
59339,8.69,0,0
58985,8.7,0,0
58669,8.71,0,0
58352,8.72,0,0
58074,8.73,0,0
57796,8.74,0,0
57557,8.75,0,0
57318,8.76,0,0
57120,8.77,0,0
56922,8.78,0,0
56766,8.79,0,0
56610,8.8,0,0
56499,8.81,0,0
56388,8.82,0,0
56323,8.83,0,0
56259,8.84,0,0
56244,8.85,0,0
56229,8.86,0,0
56267,8.87,0,0
56305,8.88,0,0
56399,8.89,0,0
56493,8.9,0,0
56647,8.91,0,0
56801,8.92,0,0
57018,8.93,0,0
57235,8.94,0,0
57521,8.95,0,0
57806,8.96,0,0
58163,8.97,0,0
58521,8.98,0,0
58955,8.99,0,0
59390,9,0,0
59906,9.01,0,0
60421,9.02,0,0
61022,9.03,0,0
61623,9.04,0,0
62313,9.05,0,0
63003,9.06,0,0
63784,9.07,0,0
64566,9.08,0,0
65441,9.09,0,0
66316,9.1,0,0
67286,9.11,0,0
68256,9.12,0,0
69321,9.13,0,0
70386,9.14,0,0
71546,9.15,0,0
72705,9.16,0,0
73954,9.17,0,0
75203,9.18,0,0
76536,9.19,0,0
77869,9.2,0,0
79281,9.21,0,0
80693,9.22,0,0
82177,9.23,0,0
83661,9.24,0,0
85207,9.25,0,0
86754,9.26,0,0
88352,9.27,0,0
89951,9.28,0,0
91586,9.29,0,0
93222,9.3,0,0
94878,9.31,0,0
96535,9.32,0,0
98196,9.33,0,0
99857,9.34,0,0
1.0151e+05,9.35,0,0
1.0316e+05,9.36,0,0
1.0478e+05,9.37,0,0
1.0641e+05,9.38,0,0
1.0799e+05,9.39,0,0
1.0957e+05,9.4,0,0
1.1108e+05,9.41,0,0
1.126e+05,9.42,0,0
1.1405e+05,9.43,0,0
1.1549e+05,9.44,0,0
1.1686e+05,9.45,0,0
1.1824e+05,9.46,0,0
1.1956e+05,9.47,0,0
1.2087e+05,9.48,0,0
1.2215e+05,9.49,0,0
1.2343e+05,9.5,0,0
1.2468e+05,9.51,0,0
1.2593e+05,9.52,0,0
1.2715e+05,9.53,0,0
1.2837e+05,9.54,0,0
1.2955e+05,9.55,0,0
1.3072e+05,9.56,0,0
1.3185e+05,9.57,0,0
1.3297e+05,9.58,0,0
1.3398e+05,9.59,0,0
1.3498e+05,9.6,0,0
1.3586e+05,9.61,0,0
1.3675e+05,9.62,0,0
1.3751e+05,9.63,0,0
1.3827e+05,9.64,0,0
1.3891e+05,9.65,0,0
1.3954e+05,9.66,0,0
1.4049e+05,9.67,0,0
1.4143e+05,9.68,0,0
1.4208e+05,9.69,0,0
1.4273e+05,9.7,0,0
1.4328e+05,9.71,0,0
1.4383e+05,9.72,0,0
1.4444e+05,9.73,0,0
1.4505e+05,9.74,0,0
1.456e+05,9.75,0,0
1.4615e+05,9.76,0,0
1.466e+05,9.77,0,0
1.4705e+05,9.78,0,0
1.4729e+05,9.79,0,0
1.4754e+05,9.8,0,0
1.4768e+05,9.81,0,0
1.4782e+05,9.82,0,0
1.4788e+05,9.83,0,0
1.4793e+05,9.84,0,0
1.4795e+05,9.85,0,0
1.4796e+05,9.86,0,0
1.4793e+05,9.87,0,0
1.479e+05,9.88,0,0
1.4778e+05,9.89,0,0
1.4767e+05,9.9,0,0
1.4752e+05,9.91,0,0
1.4736e+05,9.92,0,0
1.4719e+05,9.93,0,0
1.4702e+05,9.94,0,0
1.4675e+05,9.95,0,0
1.4648e+05,9.96,0,0
1.4626e+05,9.97,0,0
1.4605e+05,9.98,0,0
1.4592e+05,9.99,0,0
1.458e+05,10,0,0
