"Mach","Points:0","Points:1","Points:2"
2.0992,4.17,0,0
2.0975,4.18,0,0
2.0945,4.19,0,0
2.0915,4.2,0,0
2.087,4.21,0,0
2.0825,4.22,0,0
2.0763,4.23,0,0
2.0701,4.24,0,0
2.0619,4.25,0,0
2.0537,4.26,0,0
2.0432,4.27,0,0
2.0327,4.28,0,0
2.0194,4.29,0,0
2.0062,4.3,0,0
1.9899,4.31,0,0
1.9736,4.32,0,0
1.9536,4.33,0,0
1.9337,4.34,0,0
1.9098,4.35,0,0
1.886,4.36,0,0
1.858,4.37,0,0
1.83,4.38,0,0
1.798,4.39,0,0
1.7661,4.4,0,0
1.731,4.41,0,0
1.6958,4.42,0,0
1.6587,4.43,0,0
1.6215,4.44,0,0
1.5837,4.45,0,0
1.546,4.46,0,0
1.5092,4.47,0,0
1.4724,4.48,0,0
1.4381,4.49,0,0
1.4038,4.5,0,0
1.373,4.51,0,0
1.3422,4.52,0,0
1.3154,4.53,0,0
1.2886,4.54,0,0
1.2655,4.55,0,0
1.2425,4.56,0,0
1.2228,4.57,0,0
1.2031,4.58,0,0
1.187,4.59,0,0
1.1708,4.6,0,0
1.1574,4.61,0,0
1.144,4.62,0,0
1.1326,4.63,0,0
1.1212,4.64,0,0
1.1113,4.65,0,0
1.1014,4.66,0,0
1.0927,4.67,0,0
1.0839,4.68,0,0
1.0761,4.69,0,0
1.0683,4.7,0,0
1.0613,4.71,0,0
1.0543,4.72,0,0
1.0481,4.73,0,0
1.0419,4.74,0,0
1.0365,4.75,0,0
1.0311,4.76,0,0
1.0265,4.77,0,0
1.0218,4.78,0,0
1.0179,4.79,0,0
1.0139,4.8,0,0
1.0107,4.81,0,0
1.0075,4.82,0,0
1.005,4.83,0,0
1.0024,4.84,0,0
1.0005,4.85,0,0
0.99861,4.86,0,0
0.99729,4.87,0,0
0.99597,4.88,0,0
0.99521,4.89,0,0
0.99444,4.9,0,0
0.99417,4.91,0,0
0.99391,4.92,0,0
0.99411,4.93,0,0
0.99432,4.94,0,0
0.99494,4.95,0,0
0.99557,4.96,0,0
0.99659,4.97,0,0
0.9976,4.98,0,0
0.99896,4.99,0,0
1.0003,5,0,0
1.002,5.01,0,0
1.0037,5.02,0,0
1.0056,5.03,0,0
1.0075,5.04,0,0
1.0097,5.05,0,0
1.0119,5.06,0,0
1.0142,5.07,0,0
1.0166,5.08,0,0
1.0191,5.09,0,0
1.0216,5.1,0,0
1.0242,5.11,0,0
1.0269,5.12,0,0
1.0296,5.13,0,0
1.0323,5.14,0,0
1.035,5.15,0,0
1.0378,5.16,0,0
1.0406,5.17,0,0
1.0434,5.18,0,0
1.0462,5.19,0,0
1.049,5.2,0,0
1.0518,5.21,0,0
1.0546,5.22,0,0
1.0574,5.23,0,0
1.0602,5.24,0,0
1.063,5.25,0,0
1.0658,5.26,0,0
1.0686,5.27,0,0
1.0714,5.28,0,0
1.0743,5.29,0,0
1.0771,5.3,0,0
1.0801,5.31,0,0
1.0831,5.32,0,0
1.0863,5.33,0,0
1.0895,5.34,0,0
1.0931,5.35,0,0
1.0966,5.36,0,0
1.1005,5.37,0,0
1.1045,5.38,0,0
1.109,5.39,0,0
1.1135,5.4,0,0
1.1186,5.41,0,0
1.1237,5.42,0,0
1.1295,5.43,0,0
1.1354,5.44,0,0
1.1419,5.45,0,0
1.1484,5.46,0,0
1.1556,5.47,0,0
1.1629,5.48,0,0
1.1708,5.49,0,0
1.1788,5.5,0,0
1.1874,5.51,0,0
1.196,5.52,0,0
1.2052,5.53,0,0
1.2144,5.54,0,0
1.2242,5.55,0,0
1.2341,5.56,0,0
1.2444,5.57,0,0
1.2547,5.58,0,0
1.2654,5.59,0,0
1.2761,5.6,0,0
1.2871,5.61,0,0
1.2981,5.62,0,0
1.3092,5.63,0,0
1.3204,5.64,0,0
1.3317,5.65,0,0
1.343,5.66,0,0
1.3544,5.67,0,0
1.3659,5.68,0,0
1.3774,5.69,0,0
1.3889,5.7,0,0
1.4005,5.71,0,0
1.4121,5.72,0,0
1.4238,5.73,0,0
1.4354,5.74,0,0
1.4471,5.75,0,0
1.4588,5.76,0,0
1.4704,5.77,0,0
1.4821,5.78,0,0
1.4937,5.79,0,0
1.5053,5.8,0,0
1.5169,5.81,0,0
1.5284,5.82,0,0
1.5399,5.83,0,0
1.5514,5.84,0,0
1.5628,5.85,0,0
1.5742,5.86,0,0
1.5854,5.87,0,0
1.5967,5.88,0,0
1.6078,5.89,0,0
1.6189,5.9,0,0
1.6298,5.91,0,0
1.6408,5.92,0,0
1.6516,5.93,0,0
1.6623,5.94,0,0
1.6729,5.95,0,0
1.6834,5.96,0,0
1.6938,5.97,0,0
1.7041,5.98,0,0
1.7142,5.99,0,0
1.7243,6,0,0
1.7341,6.01,0,0
1.7439,6.02,0,0
1.7535,6.03,0,0
1.7631,6.04,0,0
1.7724,6.05,0,0
1.7817,6.06,0,0
1.7907,6.07,0,0
1.7998,6.08,0,0
1.8085,6.09,0,0
1.8173,6.1,0,0
1.8257,6.11,0,0
1.8342,6.12,0,0
1.8424,6.13,0,0
1.8505,6.14,0,0
1.8584,6.15,0,0
1.8663,6.16,0,0
1.8739,6.17,0,0
1.8815,6.18,0,0
1.8887,6.19,0,0
1.896,6.2,0,0
1.903,6.21,0,0
1.9099,6.22,0,0
1.9166,6.23,0,0
1.9232,6.24,0,0
1.9295,6.25,0,0
1.9358,6.26,0,0
1.9417,6.27,0,0
1.9477,6.28,0,0
1.9533,6.29,0,0
1.9589,6.3,0,0
1.9641,6.31,0,0
1.9693,6.32,0,0
1.9741,6.33,0,0
1.9789,6.34,0,0
1.9833,6.35,0,0
1.9877,6.36,0,0
1.9917,6.37,0,0
1.9956,6.38,0,0
1.9991,6.39,0,0
2.0026,6.4,0,0
2.0057,6.41,0,0
2.0087,6.42,0,0
