"TP","Points:0","Points:1","Points:2"
0.17704,8.61,0,0
0.17738,8.62,0,0
0.17775,8.63,0,0
0.17812,8.64,0,0
0.17846,8.65,0,0
0.17879,8.66,0,0
0.17912,8.67,0,0
0.17944,8.68,0,0
0.17977,8.69,0,0
0.18009,8.7,0,0
0.18041,8.71,0,0
0.18073,8.72,0,0
0.18104,8.73,0,0
0.18136,8.74,0,0
0.18166,8.75,0,0
0.18197,8.76,0,0
0.18226,8.77,0,0
0.18255,8.78,0,0
0.18281,8.79,0,0
0.18307,8.8,0,0
0.18327,8.81,0,0
0.18347,8.82,0,0
0.18362,8.83,0,0
0.18377,8.84,0,0
0.18385,8.85,0,0
0.18394,8.86,0,0
0.18394,8.87,0,0
0.18394,8.88,0,0
0.18382,8.89,0,0
0.18371,8.9,0,0
0.18351,8.91,0,0
0.18331,8.92,0,0
0.18297,8.93,0,0
0.18263,8.94,0,0
0.18217,8.95,0,0
0.18172,8.96,0,0
0.18116,8.97,0,0
0.18059,8.98,0,0
0.17992,8.99,0,0
0.17926,9,0,0
0.17849,9.01,0,0
0.17772,9.02,0,0
0.17685,9.03,0,0
0.17598,9.04,0,0
0.17504,9.05,0,0
0.17411,9.06,0,0
0.17314,9.07,0,0
0.17217,9.08,0,0
0.1712,9.09,0,0
0.17022,9.1,0,0
0.16926,9.11,0,0
0.1683,9.12,0,0
0.16735,9.13,0,0
0.16639,9.14,0,0
0.16553,9.15,0,0
0.16467,9.16,0,0
0.16397,9.17,0,0
0.16327,9.18,0,0
0.16272,9.19,0,0
0.16218,9.2,0,0
0.16182,9.21,0,0
0.16145,9.22,0,0
0.16127,9.23,0,0
0.16109,9.24,0,0
0.16105,9.25,0,0
0.16101,9.26,0,0
0.16113,9.27,0,0
0.16125,9.28,0,0
0.16151,9.29,0,0
0.16178,9.3,0,0
0.16221,9.31,0,0
0.16263,9.32,0,0
0.16314,9.33,0,0
0.16365,9.34,0,0
0.1643,9.35,0,0
0.16494,9.36,0,0
0.1657,9.37,0,0
0.16646,9.38,0,0
0.16737,9.39,0,0
0.16828,9.4,0,0
0.16927,9.41,0,0
0.17027,9.42,0,0
0.17115,9.43,0,0
0.17204,9.44,0,0
0.17301,9.45,0,0
0.17398,9.46,0,0
0.17495,9.47,0,0
0.17591,9.48,0,0
0.17683,9.49,0,0
0.17775,9.5,0,0
0.17871,9.51,0,0
0.17968,9.52,0,0
0.18047,9.53,0,0
0.18126,9.54,0,0
0.18209,9.55,0,0
0.18293,9.56,0,0
0.18372,9.57,0,0
0.18452,9.58,0,0
0.18516,9.59,0,0
0.1858,9.6,0,0
0.18611,9.61,0,0
0.18643,9.62,0,0
0.18727,9.63,0,0
0.18812,9.64,0,0
0.18751,9.65,0,0
0.18691,9.66,0,0
0.18695,9.67,0,0
0.18698,9.68,0,0
0.18655,9.69,0,0
0.18612,9.7,0,0
0.18573,9.71,0,0
0.18533,9.72,0,0
0.18478,9.73,0,0
0.18424,9.74,0,0
0.1838,9.75,0,0
0.18335,9.76,0,0
0.18318,9.77,0,0
0.18301,9.78,0,0
0.18225,9.79,0,0
0.18149,9.8,0,0
0.1807,9.81,0,0
0.17992,9.82,0,0
0.17862,9.83,0,0
0.17733,9.84,0,0
0.17654,9.85,0,0
0.17575,9.86,0,0
0.17499,9.87,0,0
0.17422,9.88,0,0
0.17377,9.89,0,0
0.17331,9.9,0,0
0.17251,9.91,0,0
0.1717,9.92,0,0
0.17172,9.93,0,0
0.17174,9.94,0,0
0.17622,9.95,0,0
0.18069,9.96,0,0
0.17674,9.97,0,0
0.1728,9.98,0,0
0.17617,9.99,0,0
0.17954,10,0,0
