"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","PT","Pressure","Pressure_Coefficient","Temperature","c","u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.6259,1.9707e+05,2.9447,417.95,4.8247,0,1.6257e+05,23002,-1.1489e+18,123.72,226.8,667.85,1,1.374,1.374,0,0
0.62107,1.9563e+05,2.9516,415.11,4.7574,0,1.6149e+05,22754,-1.1519e+18,123.35,226.47,668.43,1,1.38,1.38,0,0
0.61635,1.9421e+05,2.9585,412.3,4.7003,0,1.6044e+05,22515,-1.1548e+18,122.98,226.13,669,1,1.386,1.386,0,0
0.6117,1.9281e+05,2.9655,409.53,4.6505,0,1.5939e+05,22282,-1.1577e+18,122.62,225.8,669.57,1,1.392,1.392,0,0
0.60706,1.9141e+05,2.9724,406.76,4.6006,0,1.5834e+05,22049,-1.1605e+18,122.26,225.46,670.14,1,1.398,1.398,0,0
0.60241,1.9002e+05,2.9794,403.98,4.5508,0,1.5729e+05,21816,-1.1633e+18,121.89,225.13,670.71,1,1.404,1.404,0,0
0.59777,1.8862e+05,2.9864,401.21,4.5009,0,1.5624e+05,21584,-1.1662e+18,121.53,224.79,671.28,1,1.41,1.41,0,0
0.59313,1.8722e+05,2.9934,398.44,4.451,0,1.552e+05,21351,-1.169e+18,121.17,224.46,671.85,1,1.416,1.416,0,0
0.58848,1.8582e+05,3.0003,395.66,4.4012,0,1.5415e+05,21118,-1.1718e+18,120.81,224.12,672.42,1,1.422,1.422,0,0
0.58384,1.8443e+05,3.0073,392.89,4.3513,0,1.531e+05,20885,-1.1746e+18,120.44,223.79,672.99,1,1.428,1.428,0,0
0.57981,1.8321e+05,3.0139,390.47,4.2823,0,1.5218e+05,20686,-1.1771e+18,120.11,223.47,673.51,1,1.434,1.434,0,0
0.57585,1.8201e+05,3.0204,388.08,4.2113,0,1.5128e+05,20489,-1.1795e+18,119.78,223.16,674.01,1,1.44,1.44,0,0
0.57189,1.8081e+05,3.0269,385.7,4.1403,0,1.5037e+05,20293,-1.1818e+18,119.45,222.86,674.52,1,1.446,1.446,0,0
0.56792,1.7962e+05,3.0334,383.32,4.0693,0,1.4947e+05,20097,-1.1842e+18,119.11,222.55,675.03,1,1.452,1.452,0,0
0.56396,1.7842e+05,3.0399,380.93,3.9984,0,1.4857e+05,19901,-1.1866e+18,118.78,222.24,675.54,1,1.458,1.458,0,0
0.56,1.7722e+05,3.0464,378.55,3.9274,0,1.4766e+05,19705,-1.189e+18,118.45,221.93,676.05,1,1.464,1.464,0,0
0.55604,1.7602e+05,3.0529,376.16,3.8564,0,1.4676e+05,19509,-1.1914e+18,118.12,221.62,676.56,1,1.47,1.47,0,0
0.55205,1.7482e+05,3.0595,373.75,3.7917,0,1.4585e+05,19313,-1.1938e+18,117.79,221.3,677.07,1,1.476,1.476,0,0
0.54796,1.7357e+05,3.0666,371.27,3.7492,0,1.449e+05,19115,-1.1962e+18,117.43,220.97,677.61,1,1.482,1.482,0,0
0.54387,1.7233e+05,3.0737,368.78,3.7067,0,1.4396e+05,18917,-1.1986e+18,117.08,220.64,678.14,1,1.488,1.488,0,0
0.53979,1.7109e+05,3.0807,366.29,3.6642,0,1.4301e+05,18720,-1.201e+18,116.73,220.31,678.67,1,1.494,1.494,0,0
0.5357,1.6985e+05,3.0878,363.8,3.6217,0,1.4207e+05,18522,-1.2034e+18,116.38,219.97,679.2,1,1.5,1.5,0,0
0.53161,1.6861e+05,3.0949,361.31,3.5791,0,1.4112e+05,18325,-1.2058e+18,116.03,219.64,679.74,1,1.506,1.506,0,0
0.52753,1.6737e+05,3.102,358.82,3.5366,0,1.4018e+05,18127,-1.2082e+18,115.67,219.31,680.27,1,1.512,1.512,0,0
0.52344,1.6612e+05,3.1091,356.33,3.4941,0,1.3923e+05,17929,-1.2106e+18,115.32,218.98,680.8,1,1.518,1.518,0,0
0.51881,1.6471e+05,3.1173,353.49,3.4053,0,1.3815e+05,17710,-1.2132e+18,114.92,218.59,681.41,1,1.524,1.524,0,0
0.51372,1.6316e+05,3.1265,350.35,3.2778,0,1.3695e+05,17473,-1.2161e+18,114.48,218.17,682.07,1,1.53,1.53,0,0
0.50863,1.616e+05,3.1357,347.2,3.1502,0,1.3575e+05,17236,-1.219e+18,114.04,217.75,682.74,1,1.536,1.536,0,0
0.50354,1.6005e+05,3.1448,344.06,3.0227,0,1.3455e+05,16998,-1.2219e+18,113.6,217.33,683.41,1,1.542,1.542,0,0
0.49845,1.585e+05,3.154,340.91,2.8951,0,1.3335e+05,16761,-1.2248e+18,113.16,216.91,684.07,1,1.548,1.548,0,0
0.49336,1.5694e+05,3.1632,337.77,2.7676,0,1.3216e+05,16524,-1.2277e+18,112.72,216.48,684.74,1,1.554,1.554,0,0
0.48827,1.5539e+05,3.1724,334.62,2.6401,0,1.3096e+05,16286,-1.2306e+18,112.27,216.06,685.4,1,1.56,1.56,0,0
0.48318,1.5383e+05,3.1816,331.48,2.5125,0,1.2976e+05,16049,-1.2334e+18,111.83,215.64,686.07,1,1.566,1.566,0,0
0.48323,1.5383e+05,3.1812,331.48,2.6412,0,1.2975e+05,16051,-1.2334e+18,111.84,215.64,685.99,1,1.572,1.572,0,0
0.4841,1.5406e+05,3.1793,331.98,2.8104,0,1.2993e+05,16090,-1.2329e+18,111.91,215.71,685.8,1,1.578,1.578,0,0
0.48496,1.543e+05,3.1773,332.48,2.9797,0,1.3011e+05,16129,-1.2325e+18,111.98,215.78,685.61,1,1.584,1.584,0,0
0.48583,1.5454e+05,3.1754,332.97,3.1489,0,1.3028e+05,16168,-1.232e+18,112.05,215.85,685.41,1,1.59,1.59,0,0
0.48669,1.5477e+05,3.1735,333.47,3.3182,0,1.3046e+05,16208,-1.2315e+18,112.12,215.92,685.22,1,1.596,1.596,0,0
0.48756,1.5501e+05,3.1716,333.97,3.4874,0,1.3064e+05,16247,-1.231e+18,112.2,215.99,685.02,1,1.602,1.602,0,0
0.48842,1.5525e+05,3.1696,334.47,3.6567,0,1.3082e+05,16286,-1.2306e+18,112.27,216.06,684.83,1,1.608,1.608,0,0
0.48715,1.5489e+05,3.18,333.83,3.8889,0,1.306e+05,16194,-1.2317e+18,111.84,215.63,685.45,1,1.614,1.614,0,0
0.47631,1.5185e+05,3.245,328.11,4.4028,0,1.2858e+05,15512,-1.24e+18,109.19,212.95,689.68,1,1.62,1.62,0,0
0.46547,1.4881e+05,3.3101,322.4,4.9166,0,1.2656e+05,14831,-1.2483e+18,106.54,210.27,693.92,1,1.626,1.626,0,0
0.45462,1.4577e+05,3.3752,316.68,5.4305,0,1.2454e+05,14149,-1.2565e+18,103.88,207.59,698.15,1,1.632,1.632,0,0
0.44378,1.4273e+05,3.4403,310.97,5.9444,0,1.2252e+05,13468,-1.2648e+18,101.23,204.91,702.39,1,1.638,1.638,0,0
0.43294,1.3969e+05,3.5054,305.26,6.4582,0,1.2051e+05,12786,-1.2731e+18,98.578,202.23,706.62,1,1.644,1.644,0,0
0.4221,1.3665e+05,3.5705,299.54,6.9721,0,1.1849e+05,12105,-1.2814e+18,95.925,199.55,710.86,1,1.65,1.65,0,0
0.41126,1.3361e+05,3.6355,293.83,7.4859,0,1.1647e+05,11423,-1.2897e+18,93.271,196.87,715.09,1,1.656,1.656,0,0
0.39369,1.2787e+05,3.6036,281.12,6.4119,0,1.1145e+05,10944,-1.2955e+18,94.905,198.36,712.21,1,1.662,1.662,0,0
0.36945,1.1946e+05,3.4755,261.5,3.7643,0,1.0346e+05,10666,-1.2989e+18,100.79,203.99,702.27,1,1.668,1.668,0,0
0.34521,1.1104e+05,3.3473,241.87,1.1167,0,95462,10388,-1.3023e+18,106.67,209.62,692.33,1,1.674,1.674,0,0
0.32097,1.0263e+05,3.2192,222.24,-1.5308,0,87467,10110,-1.3057e+18,112.55,215.25,682.4,1,1.68,1.68,0,0
0.29673,94220,3.0911,202.61,-4.1783,0,79473,9831.4,-1.309e+18,118.43,220.89,672.46,1,1.686,1.686,0,0
0.27249,85808,2.963,182.98,-6.8259,0,71478,9553.2,-1.3124e+18,124.31,226.52,662.52,1,1.692,1.692,0,0
0.24825,77396,2.8349,163.36,-9.4734,0,63483,9275,-1.3158e+18,130.19,232.15,652.58,1,1.698,1.698,0,0
0.22401,68984,2.7068,143.73,-12.121,0,55488,8996.9,-1.3192e+18,136.08,237.78,642.65,1,1.704,1.704,0,0
0.49544,1.364e+05,2.4343,159.57,7.1355,0,80253,37429,-9.7351e+17,157.89,252.94,586.23,1,1.71,1.71,0,0
0.83096,2.2025e+05,2.1305,183.11,31.14,0,1.1212e+05,72084,-5.5217e+17,183.17,270.17,519.74,1,1.716,1.716,0,0
1.1665,3.041e+05,1.8267,206.64,55.146,0,1.4399e+05,1.0674e+05,-1.3081e+17,208.44,287.4,453.24,1,1.722,1.722,0,0
1.502,3.8795e+05,1.523,230.17,79.151,0,1.7585e+05,1.414e+05,2.9054e+17,233.71,304.63,386.75,1,1.728,1.728,0,0
1.8375,4.718e+05,1.2192,253.71,103.16,0,2.0772e+05,1.7605e+05,7.1189e+17,258.98,321.86,320.26,1,1.734,1.734,0,0
2.1731,5.5565e+05,0.91539,277.24,127.16,0,2.3959e+05,2.1071e+05,1.1332e+18,284.25,339.09,253.76,1,1.74,1.74,0,0
2.5086,6.395e+05,0.61161,300.77,151.17,0,2.7146e+05,2.4537e+05,1.5546e+18,309.53,356.32,187.27,1,1.746,1.746,0,0
2.7921,7.1056e+05,0.35347,323.65,169.16,0,2.9865e+05,2.746e+05,1.9101e+18,331.14,371.06,131.15,1,1.752,1.752,0,0
2.7596,7.0386e+05,0.37258,342.52,150.64,0,2.9746e+05,2.7093e+05,1.8654e+18,330.51,370.71,138.07,1,1.758,1.758,0,0
2.727,6.9717e+05,0.39169,361.39,132.12,0,2.9628e+05,2.6726e+05,1.8208e+18,329.89,370.36,144.99,1,1.764,1.764,0,0
2.6945,6.9047e+05,0.4108,380.25,113.61,0,2.9509e+05,2.6359e+05,1.7761e+18,329.26,370.01,151.9,1,1.77,1.77,0,0
2.662,6.8378e+05,0.4299,399.12,95.087,0,2.939e+05,2.5991e+05,1.7315e+18,328.64,369.66,158.82,1,1.776,1.776,0,0
2.6295,6.7708e+05,0.44901,417.99,76.569,0,2.9272e+05,2.5624e+05,1.6868e+18,328.02,369.31,165.74,1,1.782,1.782,0,0
2.5969,6.7038e+05,0.46812,436.86,58.05,0,2.9153e+05,2.5257e+05,1.6422e+18,327.39,368.96,172.65,1,1.788,1.788,0,0
2.5644,6.6369e+05,0.48723,455.73,39.531,0,2.9034e+05,2.489e+05,1.5975e+18,326.77,368.6,179.57,1,1.794,1.794,0,0
2.5436,6.5996e+05,0.50802,474.37,27.842,0,2.9078e+05,2.4612e+05,1.5638e+18,325.78,368.05,186.92,1,1.8,1.8,0,0
2.5365,6.597e+05,0.53079,492.75,24.144,0,2.931e+05,2.4439e+05,1.5428e+18,324.38,367.25,194.77,1,1.806,1.806,0,0
2.5294,6.5943e+05,0.55355,511.13,20.447,0,2.9543e+05,2.4267e+05,1.5218e+18,322.98,366.45,202.61,1,1.812,1.812,0,0
2.5223,6.5917e+05,0.57631,529.52,16.749,0,2.9776e+05,2.4094e+05,1.5008e+18,321.57,365.65,210.46,1,1.818,1.818,0,0
2.5152,6.5891e+05,0.59907,547.9,13.051,0,3.0009e+05,2.3921e+05,1.4798e+18,320.17,364.85,218.31,1,1.824,1.824,0,0
2.5081,6.5865e+05,0.62183,566.28,9.3527,0,3.0242e+05,2.3749e+05,1.4588e+18,318.77,364.05,226.16,1,1.83,1.83,0,0
2.501,6.5839e+05,0.64459,584.66,5.6548,0,3.0475e+05,2.3576e+05,1.4378e+18,317.36,363.26,234.01,1,1.836,1.836,0,0
2.4939,6.5812e+05,0.66735,603.04,1.9569,0,3.0708e+05,2.3403e+05,1.4168e+18,315.96,362.46,241.86,1,1.842,1.842,0,0
2.4756,6.5394e+05,0.68713,613.79,-0.48826,0,3.0737e+05,2.3105e+05,1.3805e+18,314.16,361.41,248.23,1,1.848,1.848,0,0
2.4541,6.4864e+05,0.70608,622.39,-2.5807,0,3.0708e+05,2.2771e+05,1.3399e+18,312.24,360.3,254.18,1,1.854,1.854,0,0
2.4326,6.4335e+05,0.72503,630.99,-4.6732,0,3.068e+05,2.2437e+05,1.2993e+18,310.32,359.19,260.13,1,1.86,1.86,0,0
2.4111,6.3805e+05,0.74397,639.6,-6.7657,0,3.0651e+05,2.2103e+05,1.2587e+18,308.4,358.07,266.09,1,1.866,1.866,0,0
2.3896,6.3276e+05,0.76292,648.2,-8.8581,0,3.0623e+05,2.1769e+05,1.2181e+18,306.49,356.96,272.04,1,1.872,1.872,0,0
2.3682,6.2747e+05,0.78187,656.8,-10.951,0,3.0594e+05,2.1435e+05,1.1775e+18,304.57,355.84,277.99,1,1.878,1.878,0,0
2.3467,6.2217e+05,0.80081,665.4,-13.043,0,3.0566e+05,2.1101e+05,1.1369e+18,302.65,354.73,283.94,1,1.884,1.884,0,0
2.3281,6.1757e+05,0.81811,673.51,-14.894,0,3.0551e+05,2.0804e+05,1.1008e+18,300.88,353.7,289.37,1,1.89,1.89,0,0
2.3355,6.192e+05,0.8205,677.17,-14.57,0,3.0661e+05,2.0839e+05,1.1051e+18,300.44,353.44,289.99,1,1.896,1.896,0,0
2.343,6.2083e+05,0.82288,680.82,-14.246,0,3.0771e+05,2.0875e+05,1.1094e+18,300,353.18,290.62,1,1.902,1.902,0,0
2.3504,6.2246e+05,0.82527,684.47,-13.922,0,3.0881e+05,2.091e+05,1.1136e+18,299.56,352.92,291.25,1,1.908,1.908,0,0
2.3578,6.2408e+05,0.82766,688.13,-13.598,0,3.0991e+05,2.0945e+05,1.1179e+18,299.12,352.66,291.87,1,1.914,1.914,0,0
2.3653,6.2571e+05,0.83004,691.78,-13.274,0,3.1101e+05,2.098e+05,1.1222e+18,298.67,352.4,292.5,1,1.92,1.92,0,0
2.3727,6.2734e+05,0.83243,695.43,-12.95,0,3.1211e+05,2.1015e+05,1.1265e+18,298.23,352.14,293.13,1,1.926,1.926,0,0
2.3801,6.2897e+05,0.83482,699.09,-12.626,0,3.1321e+05,2.1051e+05,1.1308e+18,297.79,351.88,293.76,1,1.932,1.932,0,0
2.389,6.3115e+05,0.8362,702.57,-12.081,0,3.1446e+05,2.1113e+05,1.1383e+18,297.55,351.74,294.12,1,1.938,1.938,0,0
2.4,6.341e+05,0.83618,705.81,-11.23,0,3.1593e+05,2.1211e+05,1.1503e+18,297.58,351.76,294.13,1,1.944,1.944,0,0
2.4109,6.3705e+05,0.83616,709.06,-10.378,0,3.174e+05,2.131e+05,1.1623e+18,297.61,351.78,294.14,1,1.95,1.95,0,0
2.4218,6.4e+05,0.83614,712.3,-9.527,0,3.1886e+05,2.1409e+05,1.1744e+18,297.65,351.8,294.15,1,1.956,1.956,0,0
2.4327,6.4295e+05,0.83612,715.55,-8.6756,0,3.2033e+05,2.1508e+05,1.1864e+18,297.68,351.82,294.16,1,1.962,1.962,0,0
2.4436,6.459e+05,0.8361,718.79,-7.8242,0,3.218e+05,2.1607e+05,1.1984e+18,297.71,351.84,294.17,1,1.968,1.968,0,0
2.4545,6.4885e+05,0.83608,722.04,-6.9729,0,3.2326e+05,2.1705e+05,1.2104e+18,297.74,351.85,294.18,1,1.974,1.974,0,0
2.4655,6.518e+05,0.83606,725.28,-6.1215,0,3.2473e+05,2.1804e+05,1.2224e+18,297.78,351.87,294.19,1,1.98,1.98,0,0
2.4665,6.522e+05,0.84023,728.62,-6.2414,0,3.2547e+05,2.1782e+05,1.2197e+18,297.35,351.62,295.43,1,1.986,1.986,0,0
2.464,6.517e+05,0.84588,732,-6.7046,0,3.2595e+05,2.1717e+05,1.2118e+18,296.75,351.27,297.11,1,1.992,1.992,0,0
2.4615,6.5121e+05,0.85153,735.38,-7.1678,0,3.2643e+05,2.1652e+05,1.2039e+18,296.16,350.92,298.79,1,1.998,1.998,0,0
2.4591,6.5071e+05,0.85717,738.76,-7.631,0,3.2691e+05,2.1587e+05,1.196e+18,295.57,350.56,300.46,1,2.004,2.004,0,0
2.4566,6.5022e+05,0.86282,742.14,-8.0942,0,3.2738e+05,2.1522e+05,1.1881e+18,294.97,350.21,302.14,1,2.01,2.01,0,0
2.4541,6.4972e+05,0.86847,745.52,-8.5574,0,3.2786e+05,2.1457e+05,1.1802e+18,294.38,349.86,303.82,1,2.016,2.016,0,0
2.4517,6.4923e+05,0.87412,748.9,-9.0206,0,3.2834e+05,2.1392e+05,1.1723e+18,293.79,349.51,305.5,1,2.022,2.022,0,0
2.4492,6.4874e+05,0.8797,752.23,-9.4386,0,3.2882e+05,2.1328e+05,1.1645e+18,293.21,349.16,307.16,1,2.028,2.028,0,0
2.4464,6.4831e+05,0.88432,754.74,-9.128,0,3.292e+05,2.1274e+05,1.1579e+18,292.79,348.92,308.54,1,2.034,2.034,0,0
2.4437,6.4788e+05,0.88893,757.26,-8.8174,0,3.2958e+05,2.122e+05,1.1514e+18,292.37,348.67,309.93,1,2.04,2.04,0,0
2.4409,6.4745e+05,0.89354,759.78,-8.5068,0,3.2996e+05,2.1166e+05,1.1448e+18,291.96,348.42,311.31,1,2.046,2.046,0,0
2.4382,6.4702e+05,0.89815,762.3,-8.1963,0,3.3034e+05,2.1112e+05,1.1382e+18,291.54,348.17,312.69,1,2.052,2.052,0,0
2.4354,6.4659e+05,0.90277,764.81,-7.8857,0,3.3072e+05,2.1058e+05,1.1317e+18,291.13,347.92,314.08,1,2.058,2.058,0,0
2.4326,6.4616e+05,0.90738,767.33,-7.5751,0,3.311e+05,2.1004e+05,1.1251e+18,290.71,347.67,315.46,1,2.064,2.064,0,0
2.4299,6.4573e+05,0.91199,769.85,-7.2645,0,3.3148e+05,2.095e+05,1.1186e+18,290.3,347.43,316.84,1,2.07,2.07,0,0
2.4278,6.4542e+05,0.91615,772.19,-6.9752,0,3.3186e+05,2.0904e+05,1.113e+18,289.91,347.2,318.08,1,2.076,2.076,0,0
2.4267,6.4531e+05,0.91955,774.26,-6.7208,0,3.3225e+05,2.0871e+05,1.1089e+18,289.58,347,319.08,1,2.082,2.082,0,0
2.4256,6.4521e+05,0.92295,776.32,-6.4664,0,3.3264e+05,2.0838e+05,1.1049e+18,289.26,346.8,320.07,1,2.088,2.088,0,0
2.4245,6.451e+05,0.92636,778.39,-6.212,0,3.3303e+05,2.0805e+05,1.1009e+18,288.93,346.61,321.07,1,2.094,2.094,0,0
2.4234,6.45e+05,0.92976,780.46,-5.9576,0,3.3342e+05,2.0772e+05,1.0969e+18,288.6,346.41,322.07,1,2.1,2.1,0,0
2.4223,6.4489e+05,0.93316,782.52,-5.7032,0,3.3381e+05,2.0739e+05,1.0929e+18,288.27,346.21,323.06,1,2.106,2.106,0,0
2.4212,6.4479e+05,0.93657,784.59,-5.4489,0,3.342e+05,2.0706e+05,1.0889e+18,287.94,346.01,324.06,1,2.112,2.112,0,0
2.4201,6.4468e+05,0.93997,786.65,-5.1945,0,3.3459e+05,2.0673e+05,1.0849e+18,287.61,345.82,325.06,1,2.118,2.118,0,0
2.4186,6.4451e+05,0.94353,788.67,-5.0551,0,3.3496e+05,2.0636e+05,1.0804e+18,287.28,345.62,326.1,1,2.124,2.124,0,0
2.4169,6.443e+05,0.94715,790.67,-4.9656,0,3.3533e+05,2.0598e+05,1.0758e+18,286.95,345.42,327.15,1,2.13,2.13,0,0
2.4152,6.441e+05,0.95077,792.67,-4.8761,0,3.357e+05,2.056e+05,1.0711e+18,286.62,345.22,328.21,1,2.136,2.136,0,0
2.4136,6.439e+05,0.95439,794.67,-4.7866,0,3.3607e+05,2.0522e+05,1.0665e+18,286.29,345.02,329.27,1,2.142,2.142,0,0
2.4119,6.4369e+05,0.95801,796.67,-4.6972,0,3.3644e+05,2.0484e+05,1.0619e+18,285.95,344.82,330.33,1,2.148,2.148,0,0
2.4102,6.4349e+05,0.96164,798.67,-4.6077,0,3.3681e+05,2.0446e+05,1.0572e+18,285.62,344.62,331.39,1,2.154,2.154,0,0
2.4085,6.4329e+05,0.96526,800.67,-4.5182,0,3.3717e+05,2.0408e+05,1.0526e+18,285.29,344.42,332.45,1,2.16,2.16,0,0
2.4068,6.4307e+05,0.96889,802.67,-4.429,0,3.3754e+05,2.0369e+05,1.0479e+18,284.95,344.22,333.51,1,2.166,2.166,0,0
2.4029,6.4232e+05,0.97331,804.38,-4.3593,0,3.3772e+05,2.0307e+05,1.0403e+18,284.54,343.96,334.78,1,2.172,2.172,0,0
2.399,6.4157e+05,0.97773,806.1,-4.2895,0,3.379e+05,2.0244e+05,1.0327e+18,284.12,343.71,336.04,1,2.178,2.178,0,0
2.3951,6.4081e+05,0.98215,807.81,-4.2197,0,3.3808e+05,2.0182e+05,1.0252e+18,283.71,343.46,337.31,1,2.184,2.184,0,0
2.3912,6.4006e+05,0.98657,809.53,-4.1499,0,3.3826e+05,2.012e+05,1.0176e+18,283.29,343.21,338.58,1,2.19,2.19,0,0
2.3873,6.393e+05,0.99098,811.25,-4.0801,0,3.3844e+05,2.0057e+05,1.01e+18,282.88,342.96,339.85,1,2.196,2.196,0,0
2.3834,6.3855e+05,0.9954,812.96,-4.0104,0,3.3862e+05,1.9995e+05,1.0025e+18,282.46,342.71,341.12,1,2.202,2.202,0,0
2.3795,6.378e+05,0.99982,814.68,-3.9406,0,3.388e+05,1.9933e+05,9.9488e+17,282.05,342.45,342.39,1,2.208,2.208,0,0
2.3747,6.368e+05,1.0045,816.19,-3.8642,0,3.3889e+05,1.9861e+05,9.8614e+17,281.6,342.19,343.72,1,2.214,2.214,0,0
2.3679,6.3533e+05,1.0097,817.3,-3.7747,0,3.3877e+05,1.977e+05,9.751e+17,281.1,341.88,345.19,1,2.22,2.22,0,0
2.3612,6.3385e+05,1.0149,818.41,-3.6853,0,3.3866e+05,1.9679e+05,9.6406e+17,280.6,341.57,346.66,1,2.226,2.226,0,0
2.3545,6.3238e+05,1.0202,819.52,-3.5958,0,3.3855e+05,1.9589e+05,9.5303e+17,280.1,341.27,348.13,1,2.232,2.232,0,0
2.3478,6.3091e+05,1.0254,820.63,-3.5064,0,3.3844e+05,1.9498e+05,9.4199e+17,279.6,340.96,349.6,1,2.238,2.238,0,0
2.3411,6.2943e+05,1.0306,821.74,-3.417,0,3.3833e+05,1.9407e+05,9.3095e+17,279.1,340.66,351.07,1,2.244,2.244,0,0
2.3344,6.2796e+05,1.0358,822.85,-3.3275,0,3.3821e+05,1.9316e+05,9.1992e+17,278.6,340.35,352.54,1,2.25,2.25,0,0
2.3276,6.2648e+05,1.041,823.96,-3.2381,0,3.381e+05,1.9226e+05,9.0888e+17,278.1,340.05,354,1,2.256,2.256,0,0
2.3209,6.2498e+05,1.0461,824.78,-3.1545,0,3.3793e+05,1.9136e+05,8.9804e+17,277.62,339.75,355.4,1,2.262,2.262,0,0
2.314,6.2345e+05,1.051,825.45,-3.0741,0,3.3773e+05,1.9048e+05,8.873e+17,277.14,339.46,356.76,1,2.268,2.268,0,0
2.3072,6.2192e+05,1.0559,826.12,-2.9936,0,3.3753e+05,1.896e+05,8.7656e+17,276.67,339.17,358.11,1,2.274,2.274,0,0
2.3004,6.2039e+05,1.0608,826.79,-2.9131,0,3.3732e+05,1.8871e+05,8.6582e+17,276.19,338.88,359.47,1,2.28,2.28,0,0
2.2936,6.1887e+05,1.0657,827.45,-2.8327,0,3.3712e+05,1.8783e+05,8.5508e+17,275.71,338.59,360.83,1,2.286,2.286,0,0
2.2868,6.1734e+05,1.0707,828.12,-2.7522,0,3.3692e+05,1.8695e+05,8.4434e+17,275.24,338.29,362.18,1,2.292,2.292,0,0
2.28,6.1581e+05,1.0756,828.79,-2.6718,0,3.3672e+05,1.8606e+05,8.336e+17,274.76,338,363.54,1,2.298,2.298,0,0
2.2732,6.1428e+05,1.0805,829.46,-2.5913,0,3.3651e+05,1.8518e+05,8.2286e+17,274.29,337.71,364.89,1,2.304,2.304,0,0
2.2678,6.1308e+05,1.0846,829.95,-2.5318,0,3.3636e+05,1.8448e+05,8.1433e+17,273.89,337.47,366,1,2.31,2.31,0,0
2.2624,6.1188e+05,1.0886,830.45,-2.4727,0,3.3621e+05,1.8378e+05,8.0586e+17,273.5,337.23,367.09,1,2.316,2.316,0,0
2.2571,6.1069e+05,1.0926,830.94,-2.4137,0,3.3606e+05,1.8309e+05,7.9739e+17,273.11,336.98,368.19,1,2.322,2.322,0,0
2.2517,6.0949e+05,1.0967,831.43,-2.3547,0,3.3591e+05,1.8239e+05,7.8892e+17,272.71,336.74,369.29,1,2.328,2.328,0,0
2.2464,6.083e+05,1.1007,831.92,-2.2957,0,3.3576e+05,1.8169e+05,7.8045e+17,272.32,336.5,370.38,1,2.334,2.334,0,0
2.241,6.071e+05,1.1048,832.42,-2.2366,0,3.3561e+05,1.81e+05,7.7198e+17,271.93,336.25,371.48,1,2.34,2.34,0,0
2.2356,6.0591e+05,1.1088,832.91,-2.1776,0,3.3546e+05,1.803e+05,7.6351e+17,271.54,336.01,372.57,1,2.346,2.346,0,0
2.2306,6.0479e+05,1.1127,833.37,-2.1248,0,3.3532e+05,1.7964e+05,7.5554e+17,271.16,335.78,373.61,1,2.352,2.352,0,0
2.2264,6.0384e+05,1.116,833.74,-2.0868,0,3.3521e+05,1.7909e+05,7.4877e+17,270.83,335.58,374.5,1,2.358,2.358,0,0
2.2221,6.0289e+05,1.1194,834.12,-2.0489,0,3.3509e+05,1.7853e+05,7.4199e+17,270.5,335.37,375.39,1,2.364,2.364,0,0
2.2179,6.0194e+05,1.1227,834.49,-2.0109,0,3.3498e+05,1.7797e+05,7.3522e+17,270.17,335.17,376.28,1,2.37,2.37,0,0
2.2136,6.0099e+05,1.126,834.87,-1.9729,0,3.3486e+05,1.7741e+05,7.2845e+17,269.84,334.96,377.18,1,2.376,2.376,0,0
2.2094,6.0004e+05,1.1294,835.24,-1.935,0,3.3475e+05,1.7686e+05,7.2167e+17,269.52,334.76,378.07,1,2.382,2.382,0,0
2.2051,5.9909e+05,1.1327,835.62,-1.897,0,3.3463e+05,1.763e+05,7.149e+17,269.19,334.56,378.96,1,2.388,2.388,0,0
2.2009,5.9814e+05,1.1361,836,-1.8591,0,3.3452e+05,1.7574e+05,7.0813e+17,268.86,334.35,379.85,1,2.394,2.394,0,0
2.1975,5.9738e+05,1.139,836.38,-1.8326,0,3.3445e+05,1.7529e+05,7.0257e+17,268.57,334.17,380.61,1,2.4,2.4,0,0
2.1946,5.9675e+05,1.1415,836.76,-1.8133,0,3.3442e+05,1.7489e+05,6.9776e+17,268.32,334.02,381.29,1,2.406,2.406,0,0
2.1917,5.9612e+05,1.1441,837.14,-1.7941,0,3.3438e+05,1.745e+05,6.9296e+17,268.07,333.86,381.97,1,2.412,2.412,0,0
2.1888,5.955e+05,1.1467,837.52,-1.7748,0,3.3434e+05,1.741e+05,6.8816e+17,267.81,333.7,382.65,1,2.418,2.418,0,0
2.1859,5.9487e+05,1.1493,837.91,-1.7556,0,3.3431e+05,1.7371e+05,6.8336e+17,267.56,333.54,383.33,1,2.424,2.424,0,0
2.183,5.9424e+05,1.1519,838.29,-1.7363,0,3.3427e+05,1.7331e+05,6.7856e+17,267.3,333.38,384.01,1,2.43,2.43,0,0
2.1801,5.9361e+05,1.1545,838.67,-1.7171,0,3.3423e+05,1.7292e+05,6.7375e+17,267.05,333.22,384.69,1,2.436,2.436,0,0
2.1773,5.9298e+05,1.1571,839.06,-1.6978,0,3.342e+05,1.7252e+05,6.6895e+17,266.79,333.07,385.38,1,2.442,2.442,0,0
2.1756,5.9262e+05,1.1588,839.38,-1.6934,0,3.342e+05,1.7228e+05,6.6596e+17,266.62,332.96,385.83,1,2.448,2.448,0,0
