"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","PT","Pressure","Pressure_Coefficient","Temperature","c","u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.1847,6.3631e+05,1.8409,1163.5,4.562,0,4.4042e+05,1.306e+05,1.5923e+17,201.27,289.29,532.57,1,0.63,0.63,0,0
2.183,6.3588e+05,1.8416,1162.8,5.8371,0,4.4018e+05,1.3046e+05,1.5761e+17,201.22,289.26,532.69,1,0.636,0.636,0,0
2.1813,6.3544e+05,1.8422,1162.2,7.1123,0,4.3995e+05,1.3033e+05,1.5599e+17,201.17,289.22,532.81,1,0.642,0.642,0,0
2.1744,6.3361e+05,1.8451,1159.5,8.1974,0,4.3896e+05,1.2977e+05,1.4916e+17,200.93,289.04,533.3,1,0.648,0.648,0,0
2.1618,6.3023e+05,1.8504,1154.7,9.0711,0,4.3714e+05,1.2873e+05,1.3652e+17,200.47,288.71,534.2,1,0.654,0.654,0,0
2.1492,6.2685e+05,1.8556,1149.8,9.9447,0,4.3532e+05,1.2769e+05,1.2388e+17,200.01,288.38,535.11,1,0.66,0.66,0,0
2.1365,6.2347e+05,1.8609,1145,10.818,0,4.335e+05,1.2665e+05,1.1124e+17,199.55,288.05,536.01,1,0.666,0.666,0,0
2.1239,6.2009e+05,1.8662,1140.1,11.692,0,4.3167e+05,1.2561e+05,9.8601e+16,199.09,287.71,536.92,1,0.672,0.672,0,0
2.1113,6.1671e+05,1.8715,1135.3,12.566,0,4.2985e+05,1.2457e+05,8.5962e+16,198.63,287.38,537.82,1,0.678,0.678,0,0
2.0986,6.1333e+05,1.8768,1130.4,13.439,0,4.2803e+05,1.2353e+05,7.3323e+16,198.17,287.05,538.73,1,0.684,0.684,0,0
2.086,6.0995e+05,1.8821,1125.6,14.313,0,4.2621e+05,1.2249e+05,6.0684e+16,197.71,286.72,539.63,1,0.69,0.69,0,0
2.0668,6.0475e+05,1.8906,1117.9,14.786,0,4.2334e+05,1.2094e+05,4.1835e+16,196.98,286.19,541.03,1,0.696,0.696,0,0
2.0459,5.9909e+05,1.8999,1109.5,15.155,0,4.202e+05,1.1926e+05,2.136e+16,196.18,285.6,542.55,1,0.702,0.702,0,0
2.0249,5.9343e+05,1.9091,1101.1,15.524,0,4.1707e+05,1.1757e+05,8.8581e+14,195.39,285.02,544.07,1,0.708,0.708,0,0
2.004,5.8776e+05,1.9184,1092.8,15.893,0,4.1393e+05,1.1589e+05,-1.9589e+16,194.59,284.44,545.59,1,0.714,0.714,0,0
1.983,5.821e+05,1.9277,1084.4,16.261,0,4.1079e+05,1.142e+05,-4.0063e+16,193.79,283.86,547.11,1,0.72,0.72,0,0
1.9621,5.7643e+05,1.937,1076,16.63,0,4.0765e+05,1.1252e+05,-6.0537e+16,192.99,283.27,548.64,1,0.726,0.726,0,0
1.9412,5.7077e+05,1.9463,1067.6,16.999,0,4.0451e+05,1.1084e+05,-8.1012e+16,192.2,282.69,550.16,1,0.732,0.732,0,0
1.9199,5.6502e+05,1.9558,1059.1,17.323,0,4.0131e+05,1.0914e+05,-1.0166e+17,191.39,282.1,551.7,1,0.738,0.738,0,0
1.8965,5.586e+05,1.9669,1049.1,17.294,0,3.9762e+05,1.0732e+05,-1.2373e+17,190.46,281.41,553.44,1,0.744,0.744,0,0
1.873,5.5218e+05,1.978,1039.2,17.264,0,3.9392e+05,1.0551e+05,-1.458e+17,189.53,280.71,555.17,1,0.75,0.75,0,0
1.8495,5.4576e+05,1.9892,1029.3,17.235,0,3.9022e+05,1.0369e+05,-1.6787e+17,188.6,280.02,556.91,1,0.756,0.756,0,0
1.8261,5.3934e+05,2.0003,1019.4,17.205,0,3.8653e+05,1.0188e+05,-1.8994e+17,187.67,279.33,558.64,1,0.762,0.762,0,0
1.8026,5.3292e+05,2.0115,1009.5,17.176,0,3.8283e+05,1.0006e+05,-2.1201e+17,186.74,278.64,560.38,1,0.768,0.768,0,0
1.7791,5.265e+05,2.0226,999.53,17.146,0,3.7913e+05,98247,-2.3408e+17,185.82,277.95,562.12,1,0.774,0.774,0,0
1.7557,5.2008e+05,2.0337,989.61,17.116,0,3.7544e+05,96432,-2.5614e+17,184.89,277.26,563.85,1,0.78,0.78,0,0
1.7333,5.1394e+05,2.0448,979.97,17.024,0,3.7185e+05,94727,-2.7687e+17,183.98,276.58,565.53,1,0.786,0.786,0,0
1.7123,5.0815e+05,2.0557,970.69,16.849,0,3.684e+05,93167,-2.9584e+17,183.1,275.91,567.14,1,0.792,0.792,0,0
1.6914,5.0236e+05,2.0667,961.41,16.674,0,3.6495e+05,91607,-3.1481e+17,182.22,275.25,568.75,1,0.798,0.798,0,0
1.6705,4.9658e+05,2.0776,952.13,16.499,0,3.6151e+05,90047,-3.3377e+17,181.34,274.58,570.36,1,0.804,0.804,0,0
1.6495,4.9079e+05,2.0885,942.85,16.325,0,3.5806e+05,88487,-3.5274e+17,180.46,273.91,571.96,1,0.81,0.81,0,0
1.6286,4.85e+05,2.0994,933.57,16.15,0,3.5461e+05,86927,-3.7171e+17,179.58,273.24,573.57,1,0.816,0.816,0,0
1.6077,4.7921e+05,2.1104,924.29,15.975,0,3.5116e+05,85367,-3.9068e+17,178.69,272.58,575.18,1,0.822,0.822,0,0
1.5867,4.7343e+05,2.1213,915.01,15.8,0,3.4772e+05,83807,-4.0964e+17,177.81,271.91,576.79,1,0.828,0.828,0,0
1.5669,4.6789e+05,2.1325,905.92,15.718,0,3.4434e+05,82367,-4.2715e+17,176.94,271.24,578.36,1,0.834,0.834,0,0
1.5474,4.6244e+05,2.1437,896.89,15.667,0,3.4099e+05,80967,-4.4417e+17,176.07,270.56,579.92,1,0.84,0.84,0,0
1.5278,4.5699e+05,2.1549,887.85,15.617,0,3.3764e+05,79567,-4.6119e+17,175.2,269.89,581.48,1,0.846,0.846,0,0
1.5083,4.5155e+05,2.1661,878.82,15.566,0,3.3429e+05,78167,-4.7821e+17,174.32,269.22,583.03,1,0.852,0.852,0,0
1.4888,4.461e+05,2.1773,869.79,15.515,0,3.3095e+05,76767,-4.9523e+17,173.45,268.54,584.59,1,0.858,0.858,0,0
1.4693,4.4065e+05,2.1885,860.75,15.465,0,3.276e+05,75367,-5.1226e+17,172.58,267.87,586.15,1,0.864,0.864,0,0
1.4498,4.352e+05,2.1997,851.72,15.414,0,3.2425e+05,73967,-5.2928e+17,171.71,267.2,587.71,1,0.87,0.87,0,0
1.4304,4.2979e+05,2.2109,842.74,15.358,0,3.2092e+05,72581,-5.4613e+17,170.84,266.52,589.26,1,0.876,0.876,0,0
1.4131,4.249e+05,2.222,834.4,15.234,0,3.1782e+05,71382,-5.6071e+17,170.01,265.87,590.71,1,0.882,0.882,0,0
1.3957,4.2e+05,2.233,826.06,15.11,0,3.1473e+05,70182,-5.7529e+17,169.19,265.22,592.16,1,0.888,0.888,0,0
1.3784,4.1511e+05,2.244,817.72,14.986,0,3.1164e+05,68983,-5.8988e+17,168.36,264.57,593.61,1,0.894,0.894,0,0
1.361,4.1022e+05,2.2551,809.38,14.862,0,3.0855e+05,67783,-6.0446e+17,167.53,263.92,595.06,1,0.9,0.9,0,0
1.3437,4.0533e+05,2.2661,801.04,14.738,0,3.0546e+05,66584,-6.1905e+17,166.71,263.27,596.51,1,0.906,0.906,0,0
1.3263,4.0044e+05,2.2772,792.7,14.613,0,3.0236e+05,65384,-6.3363e+17,165.88,262.62,597.96,1,0.912,0.912,0,0
1.309,3.9555e+05,2.2882,784.36,14.489,0,2.9927e+05,64185,-6.4821e+17,165.05,261.97,599.4,1,0.918,0.918,0,0
