"Density","Energy","Mach","Pressure","Pressure_Coefficient","Temperature","rp","Points:0","Points:1","Points:2"
6.8026,1.748e+06,0.57876,6.3925e+05,6.8733e+18,316.4,0.79565,-0.65846,0,0
6.7787,1.7428e+06,0.58526,6.361e+05,6.8324e+18,315.95,0.79173,-0.64615,0,0
6.752,1.7369e+06,0.59235,6.326e+05,6.7871e+18,315.45,0.78738,-0.63385,0,0
6.7253,1.731e+06,0.59945,6.2911e+05,6.7417e+18,314.95,0.78303,-0.62154,0,0
6.6986,1.7251e+06,0.60655,6.2561e+05,6.6963e+18,314.45,0.77868,-0.60923,0,0
6.6711,1.7191e+06,0.61381,6.2202e+05,6.6496e+18,313.94,0.7742,-0.59692,0,0
6.6411,1.7124e+06,0.62158,6.1811e+05,6.5988e+18,313.37,0.76934,-0.58462,0,0
6.611,1.7058e+06,0.62934,6.142e+05,6.5481e+18,312.81,0.76447,-0.57231,0,0
6.581,1.6991e+06,0.63711,6.1029e+05,6.4973e+18,312.24,0.75961,-0.56,0,0
6.5489,1.692e+06,0.64533,6.0614e+05,6.4434e+18,311.63,0.75444,-0.54769,0,0
6.5149,1.6845e+06,0.65399,6.0174e+05,6.3862e+18,310.98,0.74897,-0.53538,0,0
6.4808,1.6769e+06,0.66265,5.9734e+05,6.3291e+18,310.33,0.74349,-0.52308,0,0
6.4468,1.6694e+06,0.67131,5.9294e+05,6.272e+18,309.68,0.73801,-0.51077,0,0
6.4092,1.661e+06,0.68065,5.8813e+05,6.2095e+18,308.96,0.73202,-0.49846,0,0
6.3705,1.6524e+06,0.69022,5.8318e+05,6.1452e+18,308.21,0.72586,-0.48615,0,0
6.3318,1.6438e+06,0.69979,5.7823e+05,6.0809e+18,307.46,0.7197,-0.47385,0,0
6.2931,1.6351e+06,0.70935,5.7328e+05,6.0166e+18,306.72,0.71353,-0.46154,0,0
6.2482,1.6251e+06,0.72042,5.6756e+05,5.9424e+18,305.83,0.70643,-0.44923,0,0
6.2032,1.615e+06,0.73149,5.6185e+05,5.8682e+18,304.94,0.69932,-0.43692,0,0
6.1582,1.605e+06,0.74256,5.5614e+05,5.7941e+18,304.06,0.69221,-0.42462,0,0
6.1115,1.5945e+06,0.75396,5.5024e+05,5.7174e+18,303.13,0.68486,-0.41231,0,0
6.0597,1.5828e+06,0.76633,5.4375e+05,5.6331e+18,302.1,0.67678,-0.4,0,0
6.0079,1.5711e+06,0.7787,5.3726e+05,5.5488e+18,301.07,0.66871,-0.38769,0,0
5.956,1.5594e+06,0.79107,5.3077e+05,5.4646e+18,300.03,0.66063,-0.37538,0,0
5.9009,1.5469e+06,0.8042,5.2392e+05,5.3756e+18,298.92,0.6521,-0.36308,0,0
